vehicle_count,avg_speed_kmh,road_capacity,v_c_ratio,is_peak_hour,weather_condition,weather_code,occupancy_rate,has_incident,congestion_score,congestion_level,estimated_delay_minutes
1020,5.0,850,1.2,0,Storm,2,0.901,0,97.8,High,32.9
2485,5.0,1000,2.485,0,Clear,0,0.98,0,100.0,High,60.0
1276,5.0,600,2.127,0,Clear,0,0.98,1,100.0,High,60.0
1190,23.4,1000,1.19,0,Storm,2,0.788,0,89.0,High,34.3
603,42.6,850,0.709,1,Clear,0,0.475,1,75.8,High,27.3
925,39.6,850,1.088,0,Clear,0,0.684,0,67.2,Moderate,22.8
1054,31.5,1000,1.054,0,Clear,0,0.723,0,69.3,Moderate,15.8
2172,5.0,1500,1.448,0,Rain,1,0.922,0,100.0,High,44.2
1026,19.4,1000,1.026,0,Clear,0,0.625,0,73.5,High,19.2
1399,5.0,600,2.332,0,Fog,3,0.98,0,100.0,High,60.0
124,51.2,850,0.146,1,Fog,3,0.103,0,46.5,Moderate,16.2
2500,5.0,600,4.167,0,Clear,0,0.98,1,100.0,High,60.0
1441,5.0,850,1.695,1,Storm,2,0.98,0,100.0,High,60.0
728,5.0,1000,0.728,1,Fog,3,0.438,0,93.5,High,23.3
388,50.2,850,0.456,0,Clear,0,0.292,0,33.9,Low,5.4
967,24.0,1000,0.967,0,Storm,2,0.671,0,78.7,High,23.2
917,43.2,1500,0.611,0,Clear,0,0.384,0,44.1,Moderate,6.8
947,56.1,1500,0.631,0,Clear,0,0.48,0,39.2,Moderate,6.6
1028,13.5,1000,1.028,0,Rain,1,0.618,0,81.2,High,23.8
492,51.5,1000,0.492,1,Clear,0,0.405,0,46.9,Moderate,9.4
1521,36.5,1200,1.268,0,Clear,0,0.748,0,76.6,High,30.0
482,56.5,1000,0.482,0,Clear,0,0.334,0,32.3,Low,4.0
983,39.6,2000,0.492,0,Clear,0,0.336,0,40.3,Moderate,3.8
1363,19.8,1000,1.363,0,Clear,0,0.878,0,88.4,High,34.5
507,41.3,850,0.596,1,Rain,1,0.287,1,76.3,High,25.9
1449,9.3,600,2.415,0,Clear,0,0.98,1,100.0,High,60.0
382,54.8,2000,0.191,1,Rain,1,0.214,0,37.0,Moderate,6.3
1532,5.0,850,1.802,1,Clear,0,0.98,0,100.0,High,60.0
1034,11.8,850,1.216,1,Clear,0,0.79,0,97.4,High,33.4
363,14.3,600,0.605,1,Fog,3,0.396,0,83.8,High,21.5
